File Name,Class Name,Object Number,Centroid,BoundingBox,RGB Color
map_27.png,West Virginia,1,"( 260.91898734177215, 365.4582278481013)","(0, 250, 354, 1, 275, 381)","(209, 238, 234)"
map_27.png,Massachusetts,2,"( 215.15483870967742, 419.47741935483873)","(1, 209, 409, 2, 221, 432)","(153, 187, 194)"
map_27.png,Oklahoma,3,"( 298.3675078864353, 243.9495268138801)","(2, 285, 205, 3, 316, 268)","(153, 187, 194)"
map_27.png,Oregon,4,"( 199.32922535211267, 94.06220657276995)","(3, 175, 66, 4, 222, 123)","(209, 238, 234)"
map_27.png,Virginia,5,"( 269.1362962962963, 381.042962962963)","(4, 254, 354, 5, 282, 401)","(153, 187, 194)"
map_27.png,California,6,"( 261.93112947658403, 84.99414600550965)","(5, 211, 61, 6, 310, 117)","(42, 86, 116)"
map_27.png,Maryland,7,"( 252.50877192982455, 394.09941520467834)","(6, 246, 381, 7, 261, 405)","(132, 157, 163)"
map_27.png,New Mexico,8,"( 305.54099119962945, 179.26169522927282)","(7, 280, 155, 8, 331, 205)","(209, 238, 234)"
map_27.png,Alaska,9,"( 357.692429022082, 94.63958990536278)","(8, 336, 73, 9, 380, 134)","(209, 238, 234)"
map_27.png,Wyoming,10,"( 382.875, 82.375)","(8, 382, 80, 9, 385, 86)","(73, 74, 75)"
map_27.png,New York,11,"( 386.0, 76.0)","(8, 386, 75, 9, 387, 78)","(143, 159, 156)"
map_27.png,Washington,12,"( 224.10499719258843, 177.6530039303762)","(9, 203, 152, 10, 245, 203)","(209, 238, 234)"
map_27.png,Idaho,13,"( 214.12267250821466, 392.43592552026286)","(10, 193, 367, 11, 231, 411)","(42, 86, 116)"
map_27.png,Florida,14,"( 188.10220067139127, 119.44684819097351)","(11, 151, 79, 13, 230, 156)","(209, 238, 234)"
map_27.png,South Carolina,15,"( 355.288765088208, 364.83751160631385)","(13, 337, 323, 14, 386, 388)","(78, 92, 101)"
map_27.png,Nevada,16,"( 305.0587121212121, 371.0378787878788)","(14, 295, 353, 15, 321, 387)","(153, 187, 194)"
map_27.png,Texas,17,"( 247.1737804878049, 110.3185975609756)","(15, 219, 88, 16, 285, 133)","(209, 238, 234)"
map_27.png,Louisiana,18,"( 337.62799717912554, 238.59220733427364)","(16, 290, 176, 18, 388, 311)","(42, 86, 116)"
map_27.png,Minnesota,19,"( 204.01565008025682, 277.84590690208665)","(18, 174, 249, 20, 233, 311)","(124, 146, 151)"
map_27.png,Wisconsin,20,"( 271.6320830007981, 280.8731045490822)","(20, 251, 259, 21, 291, 305)","(153, 187, 194)"
map_27.png,Missouri,21,"( 287.72295805739515, 381.1456953642384)","(21, 275, 346, 22, 302, 406)","(153, 187, 194)"
map_27.png,North Carolina,22,"( 182.86310517529216, 428.5041736227045)","(22, 165, 418, 23, 204, 444)","(209, 238, 234)"
map_27.png,Maine,23,"( 254.3247198007472, 205.11301369863014)","(23, 228, 161, 25, 283, 259)","(153, 187, 194)"
map_27.png,Colorado,24,"( 236.89220779220778, 381.5207792207792)","(25, 225, 362, 26, 250, 403)","(97, 136, 155)"
map_27.png,Nebraska,25,"( 304.2421281216069, 282.486427795874)","(26, 290, 267, 27, 322, 301)","(209, 238, 234)"
map_27.png,Pennsylvania,26,"( 202.28823529411764, 416.98823529411766)","(27, 188, 412, 28, 213, 424)","(209, 238, 234)"
map_27.png,Arkansas,27,"( 301.2722437137331, 137.1595744680851)","(28, 274, 112, 29, 332, 160)","(153, 187, 194)"
map_27.png,New Hampshire,28,"( 270.7004765146358, 238.4356705241661)","(29, 256, 212, 30, 285, 266)","(209, 238, 234)"
map_27.png,Arizona,29,"( 384.97938144329896, 181.75257731958763)","(30, 380, 177, 31, 392, 188)","(209, 238, 234)"
map_27.png,Kansas,30,"( 292.55420054200545, 326.9092140921409)","(31, 284, 300, 32, 303, 360)","(153, 187, 194)"
map_27.png,Hawaii,31,"( 233.71946308724833, 340.0496644295302)","(32, 200, 320, 34, 266, 363)","(97, 136, 155)"
map_27.png,Tennessee,32,"( 319.6127167630058, 353.17148362235065)","(34, 300, 335, 35, 338, 373)","(97, 136, 155)"
map_27.png,Michigan,33,"( 199.72297297297297, 409.64864864864865)","(35, 190, 405, 36, 213, 415)","(209, 238, 234)"
map_27.png,Ohio,34,"( 254.66666666666666, 324.36876006441224)","(36, 237, 315, 37, 275, 335)","(153, 187, 194)"
map_27.png,Georgia,35,"( 246.80906801007558, 289.0403022670025)","(37, 225, 253, 39, 283, 317)","(209, 238, 234)"
map_27.png,Vermont,36,"( 254.22112211221122, 144.7108910891089)","(39, 228, 125, 40, 279, 166)","(209, 238, 234)"
map_27.png,Indiana,37,"( 275.8810888252149, 334.0787965616046)","(40, 263, 308, 41, 287, 357)","(153, 187, 194)"
map_27.png,Iowa,38,"( 195.30058794708475, 189.39441450269476)","(41, 161, 131, 43, 232, 253)","(209, 238, 234)"
map_27.png,Illinois,39,"( 239.22881355932202, 404.3305084745763)","(43, 230, 400, 44, 249, 409)","(69, 70, 70)"
map_27.png,Utah,40,"( 323.11411764705883, 305.0364705882353)","(44, 303, 293, 45, 346, 316)","(209, 238, 234)"
map_27.png,Kentucky,41,"( 186.71335504885994, 227.61644951140065)","(45, 172, 205, 46, 201, 252)","(209, 238, 234)"
map_27.png,South Dakota,42,"( 222.5, 414.2638888888889)","(46, 218, 410, 47, 229, 421)","(209, 238, 234)"
map_27.png,Montana,43,"( 321.3934240362812, 327.1916099773243)","(47, 301, 316, 48, 345, 342)","(153, 187, 194)"
map_27.png,New Jersey,44,"( 252.0487804878049, 401.1463414634146)","(48, 246, 398, 49, 257, 406)","(209, 238, 234)"
map_25.png,Massachusetts,1,"( 159.5094936708861, 586.1993670886076)","(0, 150, 570, 1, 167, 605)","(195, 191, 199)"
map_25.png,Maine,2,"( 113.94088259783514, 597.8925895087427)","(1, 88, 583, 2, 145, 619)","(182, 182, 182)"
map_25.png,Florida,3,"( 357.3239573229874, 511.1867119301649)","(2, 332, 454, 3, 399, 543)","(254, 245, 244)"
map_25.png,Virginia,4,"( 231.1363216266174, 523.0124768946396)","(3, 208, 491, 5, 254, 560)","(137, 137, 155)"
map_25.png,West Virginia,5,"( 159.00110497237569, 316.28434622467773)","(5, 139, 280, 6, 183, 351)","(254, 245, 244)"
map_25.png,South Dakota,6,"( 215.56561546286878, 422.79501525941)","(6, 183, 401, 7, 254, 441)","(195, 191, 199)"
map_25.png,Illinois,7,"( 137.22747285001466, 128.1532139712357)","(7, 102, 89, 8, 169, 169)","(137, 137, 155)"
map_25.png,Oregon,8,"( 336.3194527067222, 400.82510410469956)","(8, 311, 378, 9, 360, 432)","(137, 137, 155)"
map_25.png,Louisiana,9,"( 140.23824451410658, 582.41065830721)","(9, 121, 577, 10, 155, 592)","(137, 137, 155)"
map_25.png,New Hampshire,10,"( 261.81888035126235, 530.7178924259056)","(10, 244, 480, 11, 282, 567)","(195, 191, 199)"
map_25.png,North Carolina,11,"( 144.56271536871122, 183.4462439696761)","(11, 84, 157, 12, 180, 216)","(195, 191, 199)"
map_25.png,Idaho,12,"( 211.35652173913044, 549.0956521739131)","(12, 202, 527, 13, 224, 564)","(137, 137, 155)"
map_25.png,Maryland,13,"( 208.33333333333334, 522.0)","(12, 208, 520, 13, 210, 526)","(79, 79, 84)"
map_25.png,California,14,"( 212.0, 562.0)","(12, 212, 562, 13, 213, 563)","(195, 191, 199)"
map_25.png,Connecticut,15,"( 214.5, 562.0)","(12, 214, 562, 13, 216, 563)","(195, 191, 199)"
map_25.png,Oklahoma,16,"( 226.15989537925023, 115.97419354838709)","(13, 153, 81, 14, 295, 161)","(137, 137, 155)"
map_25.png,Georgia,17,"( 170.25862068965517, 577.9367816091954)","(14, 164, 571, 15, 180, 588)","(182, 182, 182)"
map_25.png,Missouri,18,"( 276.27272727272725, 339.2147677649861)","(15, 257, 284, 16, 300, 372)","(254, 245, 244)"
map_25.png,Michigan,19,"( 307.0447832301096, 492.40495474035254)","(16, 278, 467, 17, 334, 520)","(195, 191, 199)"
map_25.png,Utah,20,"( 239.4461224489796, 391.2081632653061)","(17, 211, 361, 18, 268, 425)","(195, 191, 199)"
map_25.png,Kentucky,21,"( 166.30911583276216, 463.08087731322826)","(18, 138, 446, 19, 190, 484)","(195, 191, 199)"
map_25.png,Texas,22,"( 214.68710003368136, 199.57123610643313)","(19, 177, 172, 20, 249, 228)","(195, 191, 199)"
map_25.png,Wisconsin,23,"( 245.29979035639414, 464.4723969252271)","(20, 226, 426, 21, 262, 496)","(78, 83, 111)"
map_25.png,South Carolina,24,"( 330.43305854116664, 318.96900761765625)","(21, 261, 244, 22, 402, 383)","(195, 191, 199)"
map_25.png,New York,25,"( 156.10329341317365, 410.8837325349301)","(22, 129, 385, 23, 185, 434)","(195, 191, 199)"
map_25.png,Ohio,26,"( 285.98617511520735, 517.5041474654378)","(23, 272, 492, 24, 309, 541)","(195, 191, 199)"
map_25.png,New Jersey,27,"( 157.51951077460689, 547.3873034362259)","(24, 129, 513, 25, 180, 573)","(195, 191, 199)"
map_25.png,Pennsylvania,28,"( 206.0117160578911, 485.34941419710543)","(25, 182, 465, 26, 230, 507)","(195, 191, 199)"
map_25.png,New Mexico,29,"( 190.379945799458, 537.0915989159892)","(26, 172, 505, 28, 209, 571)","(195, 191, 199)"
