File Name,Class Name,Object Number,Centroid,BoundingBox,RGB Color
map_17.png,Massachusetts,1,"( 158.55921052631578, 585.9934210526316)","(0, 150, 570, 1, 166, 604)","(141, 113, 163)"
map_17.png,New Mexico,2,"( 285.4919093851133, 247.98312528895053)","(1, 249, 213, 2, 321, 283)","(249, 221, 218)"
map_17.png,Oklahoma,3,"( 275.2837675350701, 340.0048096192385)","(2, 256, 285, 3, 299, 372)","(249, 221, 218)"
map_17.png,Kentucky,4,"( 244.01780626780626, 464.2877492877493)","(3, 225, 427, 4, 261, 495)","(195, 167, 190)"
map_17.png,Louisiana,5,"( 334.58353658536583, 400.8469512195122)","(4, 309, 379, 5, 358, 432)","(249, 221, 218)"
map_17.png,Oregon,6,"( 136.1785609397944, 128.10602055800294)","(5, 102, 88, 6, 168, 169)","(249, 221, 218)"
map_17.png,West Virginia,7,"( 223.2219570405728, 509.9689737470167)","(6, 207, 492, 7, 242, 533)","(249, 221, 218)"
map_17.png,Georgia,8,"( 305.82962245885767, 492.11761858664084)","(7, 277, 467, 8, 333, 520)","(195, 167, 190)"
map_17.png,New York,9,"( 156.82325308279508, 547.6893716970053)","(8, 128, 514, 9, 180, 573)","(87, 59, 136)"
map_17.png,South Carolina,10,"( 285.02310536044365, 517.3548983364141)","(9, 271, 491, 10, 308, 540)","(249, 221, 218)"
map_17.png,Virginia,11,"( 234.20618556701032, 531.4683357879234)","(10, 212, 491, 11, 253, 560)","(195, 167, 190)"
map_17.png,Maryland,12,"( 210.66576819407007, 551.2156334231806)","(11, 201, 530, 12, 222, 566)","(69, 69, 69)"
map_17.png,Florida,13,"( 207.0, 524.0)","(11, 207, 523, 12, 208, 526)","(168, 152, 151)"
map_17.png,Nevada,14,"( 355.7981913374584, 510.1599238457877)","(12, 330, 451, 13, 397, 543)","(141, 113, 163)"
map_17.png,California,15,"( 216.2354290480659, 129.78198310916486)","(13, 152, 81, 15, 293, 181)","(249, 221, 218)"
map_17.png,North Carolina,16,"( 260.72578890097935, 530.7143634385201)","(15, 242, 480, 16, 281, 568)","(195, 167, 190)"
map_17.png,Maine,17,"( 113.17563025210085, 597.7579831932773)","(16, 87, 583, 17, 145, 619)","(249, 221, 218)"
map_17.png,Connecticut,18,"( 168.92857142857142, 578.3571428571429)","(17, 163, 571, 18, 179, 588)","(249, 221, 218)"
map_17.png,Illinois,19,"( 214.39075841285785, 422.71371170266195)","(18, 182, 401, 19, 253, 440)","(141, 113, 163)"
map_17.png,Alaska,20,"( 358.2299225438239, 129.0770485120261)","(19, 328, 101, 20, 394, 183)","(249, 221, 218)"
map_17.png,Utah,21,"( 396.3333333333333, 106.33333333333333)","(19, 396, 106, 20, 398, 108)","(70, 70, 70)"
map_17.png,Wisconsin,22,"( 213.756299734748, 199.54840848806367)","(20, 176, 172, 21, 248, 229)","(249, 221, 218)"
map_17.png,Idaho,23,"( 155.25783619817997, 410.95247724974723)","(21, 128, 385, 22, 184, 434)","(195, 167, 190)"
map_17.png,New Hampshire,24,"( 143.12466124661248, 183.05216802168022)","(22, 83, 156, 23, 179, 215)","(249, 221, 218)"
map_17.png,Texas,25,"( 139.21913580246914, 582.3734567901234)","(23, 120, 576, 24, 154, 592)","(249, 221, 218)"
map_17.png,South Dakota,26,"( 328.89110745162617, 318.7869493618773)","(24, 260, 244, 25, 402, 382)","(87, 59, 136)"
map_17.png,Colorado,27,"( 158.1278735632184, 316.454382183908)","(25, 137, 280, 26, 182, 352)","(249, 221, 218)"
map_17.png,Vermont,28,"( 225.83963033432997, 260.144332699103)","(26, 197, 222, 27, 255, 297)","(249, 221, 218)"
map_17.png,Pennsylvania,29,"( 138.08383233532933, 571.4760479041917)","(27, 124, 563, 28, 156, 579)","(249, 221, 218)"
map_17.png,Arkansas,30,"( 189.10748560460652, 532.3371721049264)","(28, 171, 505, 29, 208, 562)","(141, 113, 163)"
map_17.png,Missouri,31,"( 258.13727315030246, 392.10446719404376)","(29, 210, 361, 31, 310, 426)","(195, 167, 190)"
map_17.png,Michigan,32,"( 165.6950796950797, 462.93555093555096)","(31, 137, 446, 32, 190, 484)","(141, 113, 163)"
map_17.png,New Jersey,33,"( 191.57089552238807, 564.2686567164179)","(32, 178, 558, 33, 207, 571)","(195, 167, 190)"
map_17.png,Montana,34,"( 116.2976025361601, 234.08519912819497)","(33, 84, 183, 34, 148, 286)","(249, 221, 218)"
map_17.png,Delaware,35,"( 210.45652173913044, 559.8260869565217)","(34, 201, 556, 35, 218, 566)","(249, 221, 218)"
map_17.png,Washington,36,"( 93.01846412085607, 140.41208560637853)","(35, 68, 107, 36, 118, 174)","(195, 167, 190)"
map_17.png,Ohio,37,"( 205.15961800818553, 485.15416098226467)","(36, 182, 464, 37, 229, 507)","(141, 113, 163)"
map_17.png,Tennessee,38,"( 289.874847001224, 455.63616891064873)","(37, 254, 418, 39, 342, 501)","(195, 167, 190)"
map_17.png,Alabama,39,"( 214.13524264120923, 451.8536197295147)","(39, 189, 438, 40, 242, 467)","(195, 167, 190)"
map_17.png,Indiana,40,"( 310.219683655536, 424.2940831868776)","(40, 281, 407, 41, 343, 440)","(249, 221, 218)"
map_17.png,Mississippi,41,"( 397.33742331288346, 251.61349693251535)","(41, 390, 245, 42, 406, 261)","(249, 221, 218)"
map_17.png,Hawaii,42,"( 193.8968609865471, 344.3965406790519)","(42, 172, 277, 44, 218, 412)","(249, 221, 218)"
map_17.png,Iowa,43,"( 119.0440404040404, 315.8888888888889)","(44, 98, 283, 45, 140, 351)","(249, 221, 218)"
map_17.png,Nebraska,44,"( 279.0629527854109, 189.01224081938545)","(45, 241, 154, 46, 322, 221)","(141, 113, 163)"
map_17.png,North Dakota,45,"( 170.9507416736636, 246.1343408900084)","(46, 141, 210, 47, 200, 282)","(249, 221, 218)"
map_17.png,Arizona,46,"( 135.23258958755918, 370.4983096686951)","(47, 99, 346, 48, 173, 408)","(195, 167, 190)"
map_17.png,Wyoming,47,"( 236.77428180574555, 331.28180574555404)","(48, 216, 294, 49, 257, 370)","(249, 221, 218)"
