State_Name,Health Insurance Coverage of Adults 19-24 | KFF,Health Insurance Coverage of Men 19-24 | KFF,Health Insurance Coverage of Low Income Adults 19-64 (under 200% FPL) | KFF,Health Care Expenditures per Capita by Service by State of Residence | KFF,Health Insurance Coverage of Women Ages 15-49 | KFF,Health Insurance Coverage of the Nonelderly (0-64) with Incomes below 100% Federal
Alabama,9.5,91150,0.0,0.0,0.6087878787878788,44.4
Alaska,5.4,33750,0.0,303.0200191964898,0.5856960408684546,33.6
Arizona,7.35,91150,0.0,374.64298153953325,0.0,22.1
Arkansas,9.5,185200,0.0,0.0,0.0,44.4
California,5.4,33750,0.0,0.0,0.6278787878787879,44.4
Colorado,9.5,33750,0.0,342.1054435760318,0.5327260458839407,56.8
Connecticut,9.5,33750,119.39876215738285,463.4343434343434,0.6471717171717172,0.0
Delaware,0.0,33750,0.0,322.2764980117921,0.0,0.0
Florida,5.4,185200,197.55523944997628,317.13972302207594,0.4946900584795322,44.4
Georgia,5.4,91150,112.63409961685824,394.2668059909439,0.5642401021711366,33.6
Hawaii,7.35,33750,62.66666666666667,339.72645002056765,0.5910600255427841,0.0
Idaho,9.5,91150,0.0,384.70741901776387,0.4973450292397661,44.4
Illinois,5.4,185200,81.9981684981685,367.06635318704286,0.6119696969696969,44.4
Indiana,5.4,33750,55.05494505494506,317.13972302207594,0.578544061302682,44.4
Iowa,5.4,33750,128.01355732390215,0.0,0.5025641025641026,0.0
Kansas,5.4,0,0.0,0.0,0.48781286549707603,0.0
Kentucky,5.4,91150,58.265567765567766,0.0,0.5454903283850653,56.8
Louisiana,5.4,33750,53.472527472527474,285.118006993007,0.5991379310344828,33.6
Maine,7.35,33750,0.0,333.56986151103797,0.5441857849752587,44.4
Maryland,9.5,479350,0.0,367.06635318704286,0.6407070707070708,33.6
Massachusetts,5.4,185200,0.0,473.54645354645356,0.0,56.8
Michigan,7.35,185200,81.37545787545788,349.6212121212121,0.5991379310344828,44.4
Minnesota,7.35,33750,0.0,281.78418803418805,0.5562260536398468,0.0
Mississippi,9.5,33750,0.0,0.0,0.0,33.6
Missouri,5.4,91150,63.65384615384615,291.7856449106449,0.5038798920377868,33.6
Montana,9.5,33750,0.0,0.0,0.5424538911381017,44.4
Nebraska,0.0,185200,0.0,336.32764294529,0.6155555555555555,0.0
Nevada,5.4,185200,0.0,372.477359804946,0.5159244264507422,56.8
New Hampshire,7.35,33750,0.0,0.0,0.0,56.8
New Jersey,9.5,91150,54.45970695970696,369.7805642633229,0.5262258209626631,44.4
New Mexico,5.4,33750,0.0,335.9488550665021,0.45,33.6
New York,5.4,479350,115.56881815502506,339.72645002056765,0.55801404853129,44.4
North Carolina,5.4,91150,132.1183318597112,0.0,0.4976783625730994,56.8
North Dakota,5.4,33750,0.0,308.0796654326066,0.63,33.6
Ohio,7.35,185200,0.0,359.7587948450017,0.6456565656565657,33.6
Oklahoma,5.4,33750,53.15201465201465,349.6212121212121,0.6165656565656565,44.4
Oregon,5.4,33750,0.0,445.3874269005848,0.6087878787878788,44.4
Pennsylvania,5.4,33750,96.86080586080587,264.86621017871016,0.6278787878787879,44.4
Rhode Island,0.0,0,0.0,0.0,0.0,0.0
South Carolina,5.4,33750,66.8058608058608,307.0598519127931,0.5411493477282951,33.6
South Dakota,5.4,479350,0.0,383.88018112156044,0.0,44.4
Tennessee,9.5,91150,0.0,0.0,0.0,56.8
Texas,5.4,33750,0.0,284.09212315462315,0.5910600255427841,44.4
Utah,7.35,479350,0.0,368.39864158829675,0.6165656565656565,44.4
Vermont,3.7,33750,0.0,353.61807732497385,0.5821200510855683,44.4
Virginia,5.4,91150,99.08424908424908,378.7216997561825,0.6257575757575757,33.6
Washington,7.35,91150,82.68315018315019,311.0996846290964,0.5606641123882503,33.6
West Virginia,5.4,33750,0.0,295.6402972027972,0.5398448043184886,33.6
Wisconsin,5.4,33750,0.0,489.3939393939394,0.5839080459770115,44.4
Wyoming,5.4,33750,0.0,406.2719298245614,0.5485267656320288,0.0
