File Name,Class Name,Object Number,Centroid,BoundingBox,RGB Color
newplot.png,New York,1,"( 196.60271317829458, 620.3397932816538)","(0, 169, 587, 1, 218, 648)","(254, 230, 218, 255)"
newplot.png,Virginia,2,"( 272.529499626587, 601.9977595220314)","(1, 250, 563, 2, 291, 631)","(254, 233, 223, 255)"
newplot.png,Massachusetts,3,"( 197.28832116788323, 656.4598540145986)","(2, 188, 641, 3, 204, 674)","(255, 243, 237, 255)"
newplot.png,Maryland,4,"( 248.62330623306232, 619.439024390244)","(3, 240, 592, 4, 259, 637)","(255, 238, 230, 255)"
newplot.png,New Mexico,5,"( 320.97715797066604, 328.741524404905)","(4, 285, 293, 5, 356, 363)","(255, 237, 229, 255)"
newplot.png,West Virginia,6,"( 260.6005025125628, 582.4685929648241)","(5, 245, 565, 6, 280, 606)","(255, 244, 238, 255)"
newplot.png,Arizona,7,"( 314.8152, 271.4010666666667)","(6, 277, 238, 7, 356, 302)","(254, 230, 219, 255)"
newplot.png,Wisconsin,8,"( 194.23497854077254, 486.34978540772534)","(7, 168, 461, 8, 221, 509)","(253, 206, 186, 255)"
newplot.png,Georgia,9,"( 340.7414058491534, 565.351462288353)","(8, 312, 541, 9, 367, 592)","(253, 210, 191, 255)"
newplot.png,Missouri,10,"( 275.3055434308162, 467.5058926233086)","(9, 248, 438, 10, 302, 501)","(252, 191, 166, 255)"
newplot.png,Michigan,11,"( 205.29578544061303, 536.6521072796935)","(10, 178, 520, 11, 229, 557)","(253, 204, 184, 255)"
newplot.png,Texas,12,"( 364.2966610073571, 397.8804753820034)","(11, 300, 324, 12, 435, 459)","(252, 137, 105, 255)"
newplot.png,Idaho,13,"( 166.5009932459277, 296.79075619123296)","(12, 124, 239, 14, 219, 365)","(254, 228, 215, 255)"
newplot.png,Montana,14,"( 153.72901459854015, 667.8686131386861)","(14, 129, 653, 15, 184, 688)","(255, 242, 236, 255)"
newplot.png,Maine,15,"( 243.41617647058823, 558.2691176470588)","(15, 222, 538, 16, 266, 579)","(252, 190, 165, 255)"
newplot.png,Ohio,16,"( 252.06731813246472, 497.99131378935937)","(16, 221, 477, 17, 289, 515)","(248, 95, 67, 255)"
newplot.png,Illinois,17,"( 261.7287979351033, 200.77986725663717)","(17, 192, 167, 18, 327, 245)","(103, 0, 13, 255)"
newplot.png,California,18,"( 389.3504056795132, 583.329107505071)","(18, 364, 526, 19, 430, 615)","(252, 194, 170, 255)"
newplot.png,Florida,19,"( 134.55390835579516, 224.5709793351303)","(19, 111, 191, 20, 159, 258)","(252, 191, 167, 255)"
newplot.png,Washington,20,"( 297.16764705882355, 602.9194117647058)","(20, 279, 553, 21, 317, 638)","(252, 193, 169, 255)"
newplot.png,North Carolina,21,"( 311.2476987447699, 417.5644351464435)","(21, 292, 365, 22, 335, 449)","(254, 228, 216, 255)"
newplot.png,Oklahoma,22,"( 179.6984126984127, 652.7841269841269)","(22, 161, 647, 23, 194, 662)","(255, 244, 239, 255)"
newplot.png,New Hampshire,23,"( 302.96237337192474, 530.6483357452967)","(23, 290, 493, 24, 317, 577)","(254, 229, 218, 255)"
newplot.png,Tennessee,24,"( 368.3647798742138, 476.54654088050313)","(24, 343, 454, 25, 392, 506)","(254, 226, 212, 255)"
newplot.png,Louisiana,25,"( 197.69188767550702, 394.7371294851794)","(25, 178, 360, 26, 221, 428)","(252, 193, 170, 255)"
newplot.png,South Dakota,26,"( 229.59336099585062, 635.0746887966804)","(26, 217, 629, 27, 245, 642)","(255, 240, 233, 255)"
newplot.png,New Jersey,27,"( 176.11822194199243, 212.51923076923077)","(27, 142, 175, 28, 207, 251)","(254, 227, 214, 255)"
