File Name,Map Coordinates,Title Coordinates,Legend Coordinates,Type
map_5088_png.rf.d34c5c339a19f9fba7f1ae8018fd321a.jpg,"(' 56', ' 62', ' 418', ' 635')","(' 3', ' 36', ' 30', ' 309')","(' 460', ' 87', ' 493', ' 643')",discrete
map_57.png,"(' 96', ' 40', ' 434', ' 565')","(' 13', ' 41', ' 44', ' 484')","(' 72', ' 609', ' 490', ' 692')",continuous
map_17.png,"(' 57', ' 57', ' 418', ' 637')","(' 2', ' 27', ' 30', ' 400')","(' 459', ' 80', ' 486', ' 667')",discrete
1971_png.rf.76ed78c90f529877029ccc779260d3b5.jpg,"(' 200', ' 155', ' 660', ' 870')","(' 4', ' 947', ' 38', ' 1212')","(' 44', ' 933', ' 848', ' 1049')",continuous
map_51.png,"(' 94', ' 45', ' 436', ' 553')","(' 15', ' 39', ' 44', ' 690')","(' 75', ' 602', ' 485', ' 691')",continuous
map_5072_png.rf.1fe4d92c96229351158607351b9e4cde.jpg,"(' 127', ' 49', ' 412', ' 499')","(' 18', ' 51', ' 46', ' 343')","(' 235', ' 559', ' 308', ' 691')",discrete
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,"(' 92', ' 147', ' 519', ' 890')","(' 32', ' 303', ' 90', ' 737')","(' 60', ' 922', ' 553', ' 1039')",continuous
map_62.png,"(' 113', ' 48', ' 428', ' 565')","(' 3', ' 24', ' 31', ' 436')","(' 67', ' 614', ' 487', ' 695')",continuous
map_26.png,"(' 59', ' 53', ' 418', ' 644')","(' 19', ' 24', ' 48', ' 669')","(' 458', ' 26', ' 494', ' 397')",discrete
map_45.png,"(' 115', ' 48', ' 428', ' 559')","(' 3', ' 35', ' 30', ' 277')","(' 73', ' 609', ' 491', ' 695')",continuous
2014_png.rf.377ae8e3cc2878cdb28683c8bcc084e1.jpg,"(' 167', ' 56', ' 587', ' 696')","(' 0', ' 773', ' 22', ' 1005')","(' 24', ' 760', ' 758', ' 856')",continuous
map_40.png,"(' 115', ' 55', ' 427', ' 567')","(' 16', ' 26', ' 45', ' 589')","(' 73', ' 614', ' 499', ' 695')",continuous
map_5084_png.rf.1f455f2412002d177ad7f78d080acdc9.jpg,"(' 130', ' 44', ' 412', ' 501')","(' 4', ' 22', ' 30', ' 338')","(' 52', ' 555', ' 121', ' 688')",discrete
map_5087_png.rf.e5791a9c912928eccd188c073aa01340.jpg,"(' 119', ' 39', ' 413', ' 492')","(' 3', ' 21', ' 31', ' 315')","(' 50', ' 550', ' 142', ' 689')",discrete
map_65.png,"(' 112', ' 50', ' 433', ' 564')","(' 16', ' 44', ' 46', ' 249')","(' 74', ' 612', ' 490', ' 696')",continuous
map_5086_png.rf.55c69e32839de4f7b65368ff5f847c25.jpg,"(' 128', ' 33', ' 411', ' 504')","(' 16', ' 37', ' 48', ' 304')","(' 418', ' 553', ' 488', ' 689')",discrete
map_21.png,"(' 58', ' 48', ' 417', ' 645')","(' 3', ' 36', ' 30', ' 641')","(' 460', ' 16', ' 488', ' 589')",discrete
map_1372_png.rf.cf983790e5366183dc285b037fe8c0df.jpg,"(' 130', ' 51', ' 412', ' 492')","(' 18', ' 53', ' 47', ' 399')","(' 379', ' 552', ' 485', ' 689')",discrete
1961_png.rf.f3b11f69368442c528130663426f6fc2.jpg,"(' 154', ' 81', ' 574', ' 725')","(' 0', ' 808', ' 17', ' 1042')","(' 22', ' 790', ' 752', ' 890')",continuous
map_1320_png.rf.623aa417bddf38f0817e2e8e67d22604.jpg,"(' 102', ' 44', ' 437', ' 568')","(' 3', ' 20', ' 32', ' 302')","(' 76', ' 624', ' 478', ' 689')",continuous
map_5060_png.rf.f0b4d7a3c5eaea0f15add58bf28b6487.jpg,"(' 123', ' 161', ' 421', ' 651')","(' 19', ' 52', ' 46', ' 349')","(' 402', ' 14', ' 485', ' 149')",discrete
map_1343_png.rf.f8870fb1dcd63e72f87ada8d92c5892e.jpg,"(' 107', ' 41', ' 433', ' 549')","(' 3', ' 48', ' 30', ' 316')","(' 73', ' 604', ' 487', ' 692')",continuous
map_16.png,"(' 129', ' 47', ' 414', ' 506')","(' 3', ' 38', ' 29', ' 409')","(' 400', ' 563', ' 486', ' 687')",discrete
map_49.png,"(' 106', ' 48', ' 433', ' 560')","(' 4', ' 51', ' 28', ' 672')","(' 73', ' 607', ' 489', ' 694')",continuous
map_5073_png.rf.a508b629d242008c7016916072abc8b9.jpg,"(' 123', ' 162', ' 419', ' 646')","(' 18', ' 22', ' 47', ' 271')","(' 399', ' 14', ' 489', ' 112')",discrete
1969_png.rf.e8dde71f4e715f007e3733e485e91da1.jpg,"(' 204', ' 168', ' 663', ' 888')","(' 9', ' 961', ' 40', ' 1227')","(' 40', ' 941', ' 853', ' 1063')",continuous
