File Name,Class Name,Object Number,Centroid,BoundingBox,RGB Color
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Florida,1,"( 437.74780701754383, 682.4561403508771)","(0, 407, 623, 1, 487, 711)","(109, 174, 192)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Wisconsin,2,"( 199.24663957486715, 593.1944357611753)","(1, 164, 561, 2, 235, 622)","(208, 218, 165)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,West Virginia,3,"( 295.38240574506284, 704.3752244165171)","(2, 278, 683, 3, 317, 734)","(252, 254, 217)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Oklahoma,4,"( 339.9792611795204, 505.4034348671419)","(3, 319, 442, 4, 366, 543)","(240, 245, 204)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Louisiana,5,"( 404.91619244697364, 570.9311950336265)","(4, 377, 547, 5, 432, 604)","(220, 235, 192)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Kansas,6,"( 297.09853090172237, 494.6301925025329)","(5, 274, 451, 6, 320, 541)","(199, 205, 161)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,South Dakota,7,"( 202.17086834733894, 473.0298786181139)","(6, 178, 429, 7, 231, 518)","(237, 238, 204)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,South Carolina,8,"( 363.7763371150729, 701.7739059967585)","(7, 348, 673, 8, 387, 727)","(239, 249, 196)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Texas,9,"( 397.972059234423, 483.45617956598676)","(8, 329, 400, 9, 473, 550)","(93, 140, 194)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Minnesota,10,"( 169.71660721363457, 542.5949266745937)","(9, 124, 510, 10, 219, 595)","(203, 213, 160)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Missouri,11,"( 298.5758435824661, 564.2128666035951)","(10, 266, 531, 11, 330, 603)","(221, 231, 179)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,North Carolina,12,"( 340.3349282296651, 723.2566333188342)","(11, 325, 667, 12, 363, 765)","(200, 216, 169)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Iowa,13,"( 241.45688197497464, 552.732837335137)","(12, 219, 518, 13, 267, 592)","(245, 253, 206)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Pennsylvania,14,"( 260.0675917636526, 739.2045658012534)","(13, 242, 707, 14, 278, 776)","(135, 204, 199)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Georgia,15,"( 381.89337641357025, 671.218901453958)","(14, 349, 647, 15, 411, 700)","(198, 233, 200)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Ohio,16,"( 269.560629122273, 678.9751395230847)","(15, 246, 656, 16, 298, 705)","(215, 238, 196)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Illinois,17,"( 272.32912280701754, 603.3628070175439)","(16, 234, 577, 17, 318, 624)","(127, 206, 211)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New York,18,"( 228.2372060857538, 772.2638312586446)","(17, 195, 720, 19, 258, 831)","(70, 87, 131)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Massachusetts,19,"( 217.9894366197183, 657.3235035211268)","(19, 182, 634, 20, 247, 683)","(167, 225, 203)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Michigan,20,"( 336.0577540106952, 637.4909090909091)","(20, 325, 593, 21, 349, 690)","(198, 212, 163)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Tennessee,21,"( 311.87975120939876, 728.1879751209399)","(21, 291, 681, 22, 326, 757)","(207, 216, 163)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Virginia,22,"( 250.10066090493137, 477.9069649211998)","(22, 228, 428, 23, 275, 529)","(238, 240, 203)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Nebraska,23,"( 357.5011918951132, 337.9217322208979)","(23, 317, 303, 24, 402, 370)","(207, 230, 188)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New Mexico,24,"( 310.705, 650.4961111111111)","(24, 289, 607, 25, 325, 686)","(212, 217, 177)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Kentucky,25,"( 349.26364846870837, 565.196182867288)","(25, 327, 541, 26, 377, 595)","(241, 249, 202)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Arkansas,26,"( 188.1311647429171, 839.707240293809)","(26, 157, 818, 27, 223, 865)","(254, 255, 224)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Maine,27,"( 274.9185850645705, 638.4171813587872)","(27, 247, 621, 28, 308, 657)","(191, 212, 169)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Indiana,28,"( 380.45268292682925, 597.9326829268292)","(28, 349, 576, 29, 416, 616)","(240, 249, 196)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Mississippi,29,"( 151.42472515144715, 470.4837334529953)","(29, 124, 429, 30, 179, 515)","(224, 225, 191)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,North Dakota,30,"( 288.8296194044567, 410.1567738118714)","(30, 258, 369, 31, 320, 452)","(241, 250, 197)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Kansas,31,"( 283.0722347629797, 278.8083145221971)","(31, 243, 239, 32, 347, 310)","(224, 230, 186)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Nevada,32,"( 352.5, 234.5)","(31, 352, 234, 32, 354, 236)","(90, 138, 174)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Vermont,33,"( 211.24067164179104, 799.8917910447761)","(32, 194, 792, 33, 231, 812)","(255, 255, 227)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Colorado,34,"( 283.7731414868106, 337.5841726618705)","(33, 242, 310, 34, 320, 370)","(255, 255, 223)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Oklahoma,35,"( 356.1316199376947, 403.497468847352)","(34, 319, 369, 35, 398, 441)","(212, 217, 177)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New Jersey,36,"( 270.38418079096044, 775.367231638418)","(35, 254, 767, 36, 286, 783)","(113, 170, 187)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Idaho,37,"( 201.0721583652618, 301.20561941251594)","(36, 125, 274, 37, 244, 345)","(244, 245, 211)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New Hampshire,38,"( 215.1996336996337, 811.1538461538462)","(37, 191, 800, 38, 232, 821)","(239, 240, 209)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New Mexico,39,"( 355.9670828603859, 403.5656451002649)","(38, 319, 369, 39, 398, 441)","(238, 243, 203)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Oregon,40,"( 210.75108103026884, 232.34066553863508)","(39, 176, 187, 40, 243, 279)","(218, 219, 185)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Colorado,41,"( 250.67899699513003, 365.444720754326)","(40, 193, 309, 42, 320, 430)","(254, 255, 224)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,New Mexico,42,"( 379.19093539054967, 631.6711668273867)","(42, 349, 614, 43, 414, 653)","(210, 219, 166)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Alabama,43,"( 313.01208865010074, 242.37139019476157)","(43, 241, 187, 44, 382, 306)","(89, 151, 198)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,California,44,"( 289.2557390253725, 409.5626258558196)","(44, 258, 368, 45, 321, 451)","(241, 250, 197)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Colorado,45,"( 289.64600326264275, 750.4306688417619)","(45, 279, 716, 46, 305, 771)","(235, 244, 191)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Maryland,46,"( 244.38533834586465, 804.2255639097745)","(46, 236, 790, 47, 257, 822)","(236, 247, 213)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Connecticut,47,"( 378.79990239141046, 631.3460224499756)","(47, 349, 613, 48, 413, 652)","(203, 212, 159)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Mississippi,48,"( 151.89904850313297, 470.9951264794616)","(48, 126, 430, 49, 179, 515)","(224, 225, 191)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,South Dakota,49,"( 152.29625265142587, 233.7379212821117)","(49, 123, 189, 50, 183, 276)","(244, 250, 204)"
covid19_dead_usa-20210716_png.rf.560ace1f9867905b6cb55d3c26d8cb82.jpg,Washington,50,"( 158.0515890778872, 360.45232766338404)","(50, 124, 286, 51, 201, 427)","(217, 218, 186)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,West Virginia,1,"( 295.1137724550898, 705.1984602224123)","(0, 278, 683, 1, 317, 737)","(252, 254, 214)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Wisconsin,2,"( 199.1159375, 593.1540625)","(1, 164, 561, 2, 235, 622)","(221, 222, 190)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Florida,3,"( 437.82634989200864, 682.5606911447085)","(2, 407, 623, 3, 487, 712)","(103, 168, 190)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Oklahoma,4,"( 315.85290377278506, 499.1079553483114)","(3, 274, 442, 5, 366, 543)","(255, 255, 230)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Kansas,5,"( 202.17401500938087, 472.82715759849907)","(5, 178, 429, 6, 230, 517)","(232, 233, 202)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,South Dakota,6,"( 397.79432951606947, 483.6999445881049)","(6, 328, 401, 7, 474, 551)","(211, 238, 203)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Texas,7,"( 363.8914100486224, 701.742301458671)","(7, 347, 673, 8, 389, 727)","(243, 251, 204)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,South Carolina,8,"( 405.0589189189189, 570.4270270270271)","(8, 378, 547, 9, 431, 602)","(255, 255, 227)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Louisiana,9,"( 169.29527243589743, 542.6065705128206)","(9, 124, 510, 10, 218, 596)","(215, 217, 180)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Minnesota,10,"( 269.6572295247725, 679.0490394337714)","(10, 247, 656, 11, 298, 705)","(211, 241, 207)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Ohio,11,"( 328.9533044143914, 724.8216381730033)","(11, 289, 665, 13, 364, 767)","(176, 214, 199)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,North Carolina,12,"( 217.95137046861186, 657.4084880636605)","(13, 182, 635, 14, 247, 683)","(227, 246, 190)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Virginia,13,"( 310.909140969163, 650.3502202643172)","(14, 290, 607, 15, 326, 687)","(196, 210, 161)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Michigan,14,"( 241.6507503410641, 552.8178717598909)","(15, 219, 517, 16, 267, 592)","(254, 255, 223)"
covid19_new_cases_usa-20210716_png.rf.45ae0fe9bfe76b4622618017810416a7.jpg,Kentucky,15,"( 361.1264260768335, 656.3024447031432)","(16, 325, 592, 18, 409, 700)","(236, 246, 194)"
